,ND##length##inches,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF1##length##millimeters,CtF2##length##millimeters,CtB##length##millimeters,SBW##length##millimeters,BThk##length##millimeters,RThk##length##millimeters
1,1,108,11.1,25,7.9,89,45,89,89,11,10
1.25,1.25,118,12.7,32,7.9,95,51,92,89,11,10
1.5,1.5,127,14.3,38,7.9,102,57,95,108,11,13
2,2,152,15.9,51,7.9,114,64,105,118,13,13
2.5,2.5,178,17.5,64,7.9,127,76,114,118,13,13
3,3,191,19,76,9.5,140,76,124,127,14,13
3.5,3.5,216,23.8,89,11.1,152,89,133,127,14,13
4,4,229,23.8,102,12.7,165,102,140,152,16,13
5,5,254,23.8,127,12.7,191,114,159,178,18,16
6,6,279,25.4,152,14.3,203,127,178,178,18,16
8,8,343,28.6,203,15.9,229,140,213,229,24,22
10,10,406,30.2,254,19,279,165,248,229,24,22
12,12,483,31.8,305,20.6,305,191,286,279,25,25
14,14,533,34.9,356,22.2,356,191,318,279,25,25
16,16,597,36.5,406,25.4,381,203,349,279,25,25
18,18,635,39.7,457,27,419,216,381,343,29,29
20,20,699,42.9,508,28.6,457,241,406,343,29,29
24,24,813,47.6,610,31.8,559,279,470,343,29,29
