,ND##length##inches,CtE1##length##millimeters,CtE2##length##millimeters,CtME1##length##millimeters,CtME2##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters,ETL##length##millimeters,MEPD##length##millimeters
0.125,0.125,17.5,18.4,25.4,22.8,5.1,10.3,2.29,17.6,6.7,5.1
0.25,0.25,20.6,18.5,30.2,23.9,5.5,13.7,2.41,21.4,10.2,6.6
0.375,0.375,24.1,20.3,36.6,26.2,5.8,17.1,2.54,25.8,10.36,9.4
0.5,0.5,28.5,22.4,41.2,29.2,6.3,21.3,2.67,30.4,13.56,13
0.75,0.75,33.3,24.9,48,32.8,6.9,26.7,3.05,37,13.86,17.5
1,1,38.1,28.5,54.4,37.3,7.7,33.4,3.4,45,17.34,23.1
1.25,1.25,44.5,32.8,62.2,43.4,8.7,42.2,3.68,54.7,17.94,30.2
1.5,1.5,49.3,36.3,68.3,47.8,9.3,48.3,3.94,61.6,18.38,35.2
2,2,57.2,42.7,82.3,56.4,10.7,60.3,4.39,75.3,19.22,45.5
2.5,2.5,68.6,49.5,98,65.3,12.1,73,5.33,91.2,28.96,55.9
3,3,78.2,55.1,114.6,76.2,13.9,88.9,5.87,108.8,30.48,70.6
4,4,96.3,66.3,144.5,94,16.8,114.4,6.73,137.2,33.02,94
5,5,114.3,79.6,174.2,111.1,19.8,141.3,7.62,167.2,35.72,119.1
6,6,130.3,92.5,204,129.7,22.9,168.3,8.53,197.4,38.42,144
