,ND##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters,Lgt##length##millimeters
0.125,6,5.1,10.3,2.29,17.6,25.2
0.25,8,5.5,13.7,2.41,21.4,25.4
0.375,10,5.8,17.1,2.54,25.8,28.7
0.5,15,6.3,21.3,2.67,30.4,31.8
0.75,20,6.9,26.7,3.05,37,36.6
1,25,7.7,33.4,3.4,45,42.9
1.25,32,8.7,42.2,3.68,54.7,52.3
1.5,40,9.3,48.3,3.94,61.6,58.7
2,50,10.7,60.3,4.39,75.3,71.4
2.5,65,12.1,73,5.33,91.2,82.6
3,80,13.9,88.9,5.87,108.8,93.7
4,100,16.8,114.4,6.73,137.2,111.3
