,ND##length##millimeters,FOD##length##millimeters,FThk##length##millimeters,HDia##length##millimeters,LTH##length##millimeters,RFD##length##millimeters
0.5,15,120,22.3,38,32,34.9
0.75,20,130,25.4,44,35,42.9
1,25,150,28.6,52,41,50.8
1.25,32,160,28.6,64,41,63.5
1.5,40,180,31.8,70,44,73
2,50,215,38.1,105,57,92.1
2.5,65,245,41.3,124,64,104.8
3,80,240,38.1,127,54,127
4,100,290,44.5,159,70,157.2
5,125,350,50.8,190,79,185.7
6,150,380,55.6,235,86,215.9
8,200,470,63.5,298,102,269.9
10,250,545,69.9,368,108,323.8
12,300,610,79.4,419,117,381
14,350,640,85.8,451,130,412.8
16,400,705,88.9,508,133,469.9
18,450,785,101.6,565,152,533.4
20,500,855,108,622,159,584.2
24,600,1040,139.7,749,203,692.2
