,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,HDia##length##millimeters,Lgt##length##millimeters
1,25,124,17.5,68,52,22
1.25,32,133,19,78,64,25
1.5,40,156,20.6,91,70,29
2,50,165,22.2,106,84,32
2.5,65,191,25.4,125,100,37
3,80,210,28.6,144,118,40
3.5,90,229,30.2,160,133,41
4,100,254,31.8,176,146,44
5,125,279,34.9,211,178,48
6,150,318,36.5,246,206,49
8,200,381,41.3,303,260,56
10,250,445,47.6,357,321,60
12,300,521,50.8,418,375,65
14,350,584,54,481,413,68
16,400,648,57.2,535,467,73
18,450,711,60.3,592,534,84
20,500,775,63.5,649,590,90
24,600,916,69.8,770,702,103
30,750,1092,76.2,945,870,121
