,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF##length##millimeters,CtB##length##millimeters,RBD##length##millimeters,BThk##length##millimeters,RThk##length##millimeters
1,25,108,11.1,25,7.9,89,89,89,11,10
1.25,32,118,12.7,32,7.9,95,92,89,11,10
1.5,40,127,14.3,38,7.9,102,95,108,11,13
2,50,152,15.9,51,7.9,114,105,118,13,13
2.5,65,178,17.5,64,7.9,127,114,118,13,13
3,80,191,19,76,9.5,140,124,127,14,13
3.5,90,216,23.8,89,11.1,152,133,127,14,13
4,100,229,23.8,102,12.7,165,140,152,16,13
5,125,254,23.8,127,12.7,191,159,178,18,16
6,150,279,25.4,152,14.3,203,178,178,18,16
8,200,343,28.6,203,15.9,229,213,229,24,22
10,250,406,30.2,254,19,279,248,229,24,22
12,300,483,31.8,305,20.6,305,286,279,25,25
14,350,533,34.9,356,22.2,356,318,279,25,25
16,400,597,36.5,406,25.4,381,349,279,25,25
18,450,635,39.7,457,27,419,381,343,29,29
20,500,699,42.9,508,28.6,457,406,343,29,29
24,600,813,47.6,610,31.8,559,470,343,29,29
