,ND1##length##inches,ND2##length##inches,ND3##length##inches,POD1##length##inches,POD2##length##inches,POD3##length##inches,SWid1##length##inches,SWid2##length##inches,SWid3##length##inches,SOD1##length##inches,SOD2##length##inches,SOD3##length##inches,PLgt1##length##inches,PLgt2##length##inches,PLgt3##length##inches
2X1.5X1.5,2,1.5,1.5,2.375,1.875,1.875,1.5,1.375,1.375,2.823,2.312,2.312,0.75,2.8125,2.9375
2X1.5X2,2,1.5,2,2.375,1.875,2.375,1.5,1.375,1.5,2.823,2.312,2.823,1,3.5,3.375
2X2X1.5,2,2,1.5,2.375,2.375,1.875,1.5,1.5,1.375,2.823,2.823,2.312,0.0625,3.3125,3.4375
3X3X1.5,3,3,1.5,3.5,3.5,1.875,1.875,1.875,1.375,4.116,4.116,2.312,0.5,3.75,4.3125
3X3X2,3,3,2,3.5,3.5,2.375,1.875,1.875,1.5,4.116,4.116,2.823,0.875,5,4.625
4X4X1.5,4,4,1.5,4.5,4.5,1.875,2.25,2.25,1.375,5.192,5.192,2.312,0.375,5.0625,5.875
4X4X2,4,4,2,4.5,4.5,2.375,2.25,2.25,1.5,5.192,5.192,2.823,0.375,5.0625,5.5625
4X4X3,4,4,3,4.5,4.5,3.5,2.25,2.25,1.875,5.192,5.192,4.116,1.0625,5.5625,6
6X6X3,6,6,3,6.625,6.625,3.5,3,3,1.875,7.511,7.511,4.116,0.1875,6.9375,7.4375
6X6X4,6,6,4,6.625,6.625,4.5,3,3,2.25,7.511,7.511,5.192,0.25,7.25,7.5
8X8X4,8,8,4,8.625,8.625,4.5,4,4,2.25,9.655,9.655,5.192,1,9.5,9.8125
8X8X6,8,8,6,8.625,8.625,6.625,4,4,3,9.655,9.655,7.511,1,9.5,11.7188
