,ND1##length##inches,ND2##length##inches,FOD##length##inches,SED##length##inches,SDpt##length##inches,WThk##length##inches,Lgt##length##inches
1.5x2,1.5,2,1.9,1.915,0.687,0.156,1.968
1.5x3,1.5,3,1.9,1.915,0.687,0.156,3.281
2x3,2,3,2.375,2.39,0.75,0.156,3.125
2x4,2,4,2.375,2.39,0.75,0.156,3.875
3x4,3,4,3.5,3.52,1.5,0.219,4.188
3x6,3,6,3.5,3.52,1.5,0.219,6.484
4x6,4,6,4.5,4.52,1.75,0.25,6.5
6x8,6,8,6.625,6.647,3,0.281,8.406
6x10,6,10,6.625,6.647,3,0.281,9.875
8x10,8,10,8.625,8.655,4,0.328,10.75
8x12,8,12,8.625,8.655,4,0.328,12.75
10x12,10,12,10.75,10.78,5,0.365,12.75
2x1.5,2,1.5,2.375,2.39,0.75,0.156,1.968
3x1.5,3,1.5,3.5,3.52,1.5,0.219,3.281
3x2,3,2,3.5,3.52,1.5,0.219,3.125
4x2,4,2,4.5,4.52,1.75,0.25,3.875
4x3,4,3,4.5,4.52,1.75,0.25,4.188
6x3,6,3,6.625,6.647,3,0.281,6.484
6x4,6,4,6.625,6.647,3,0.281,6.5
8x6,8,6,8.625,8.655,4,0.328,8.406
10x6,10,6,10.75,10.78,5,0.365,9.875
10x8,10,8,10.75,10.78,5,0.365,10.75
12x8,12,8,12.75,12.78,6,0.406,12.75
12x10,12,10,12.75,12.78,6,0.406,12.75
